channel_id,title,description,collected_at,status,type,country
UCddiUEpeqJcYeBxX1IVBKvQ,,"Welcome to the YouTube channel for TheVerge.com, a team of journalists that examines how technology will change life in the future. Subscribe for explainers, product reviews, technology news, and more",2026-03-15T12:12:16.676606,ok_public,AI,INT
UC9-y-6csu5WGm29I7JiwpnA,,"Videos about computers & computer stuff. Supported by Jane Street - https://jane-st.co/computerphile
Sister channel of Numberphile. ",2026-03-15T12:12:20.187461,ok_public,AI,UK
UCbmNph6atAoGfqLoCL_duAg,,"Talks at Google is a leader in the corporate interview series space, providing a platform for influential thinkers, creators, makers and doers to tell us about their work, their lives and what drives ",2026-03-15T12:12:24.454817,ok_public,AI,DE
UCsXVk37bltHxD1rDPwtNM8Q,,"Animation videos explaining things with optimistic nihilism since 12,013.

We’re a team of illustrators, animators, number crunchers and one dog who aim to spark curiosity about science and the world ",2026-03-15T12:12:27.755336,ok_public,AI,KR
UC4JX40jDee_tINbkjycV4Sg,,"I'm Tim, a self-taught developer & entrepreneur who brings you educational tech content without the fluff and noise. I went from a broke dropout working at McDonalds to making $100k+/month as a develo",2026-03-15T12:12:31.302276,ok_public,AI,US
UCWX3yGbODI3HLNnFCNfQigA,,,2026-03-15T12:12:33.835943,ok_public,AI,US
UCnUYZLuoy1rq1aVMwx4aTzw,,"The official Chrome for Developers YouTube account from Google. We want to help you build beautiful, accessible, fast, & secure websites that work for everyone, everywhere.
",2026-03-15T12:12:37.086313,ok_public,AI,KR
UC_x5XG1OV2P6uZZ5FSM9Ttw,,"Subscribe to join a community of creative developers and learn the latest in Google technology — from AI and cloud, to mobile and web.

Explore more at developers.google.com

",2026-03-15T12:12:41.283269,ok_public,AI,US
