No,구분,논문종류,저자,논문제목,발행연도,학술지,DOI_URL
1,국외,학술지,"Caplan R. & Gillespie T.","Tiered governance and demonetization",2020,Social Media + Society,https://doi.org/10.1177/2056305120936636
2,국외,학술대회,"Dunna A. et al.","Paying attention to the algorithm behind the curtain",2022,ACM CSCW,https://dl.acm.org/doi/10.1145/3555209
3,국외,학술대회,"Hua Y. et al.","Characterizing alternative monetization strategies",2022,ACM CSCW,https://dl.acm.org/doi/10.1145/3555174
4,국외,학술지,"Rieder B. et al.","Making a living in the creator economy",2023,Social Media + Society,https://doi.org/10.1177/20563051231180628
5,국외,학술지,"Kopf S.","Rewarding good creators",2020,Social Media + Society,https://doi.org/10.1177/2056305120969877
6,국외,학술대회,"Van Natta M. et al.","Investigating impacts of YouTube content policies",2023,ACM CSCW,https://dl.acm.org/doi/abs/10.1145/3579499
7,국외,워킹페이퍼,"Zhu K.","Rethinking content monetization on digital platforms",2025,SSRN,https://ssrn.com/abstract=5296867
8,국내,학술지,정재민,수익 창출 측면에서의 유튜브 역사 분석,2016,KCI,https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002134441
9,국내,학술지,"김대원·조창환",1인 미디어 창작자의 플랫폼 선택에 영향을 미치는 요인 연구,2022,KCI,https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002862696
10,국내,학술지,"이정훈·박성복",머신러닝 분류기법을 활용한 신생 유튜버의 생존 및 수익창출,2023,KCI,https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002964626
11,국내,학술지,정다영,디지털 플랫폼의 콘텐츠 추천 알고리즘과 법적 책임,2024,KCI,https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART003159812
12,국내,연구보고서,KISDI,넷플릭스 및 유튜브 생성형 AI 활용 가이드라인 동향 분석,2026,KISDI,http://www.kisdi.re.kr/bbs/view.do?key=m2101113055776&bbsSn=114904
